Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,SCOOP Rating
Aureus Greenway Holdings,AGH,Consumer Services,2/12/2025,3.8,$4.00,$3.88,$4.95,23.75%,S/O
Odysight.AI (Uplisting),ODYS,Technology,2/11/2025,3.3,$6.50,$6.50,$6.50,0.00%,S/O
Sionna Therapeutics,SION,Health Care,2/7/2025,10.6,$18.00,$25.00,$15.52,-13.78%,S/O
Titan America,TTAM,Industrials,2/7/2025,24.0,$16.00,$16.70,$15.80,-1.25%,S/O
EPWK Holdings Ltd.,EPWK,Technology,2/6/2025,2.8,$4.10,$4.11,$4.52,10.24%,S/O
FBS Global Ltd. (New Filing December 2024),FBGL,Industrials,2/6/2025,2.3,$4.50,$3.45,$0.97,-78.44%,S/O
Callan JMB Inc.,CJMB,Other,2/5/2025,1.3,$4.00,$4.10,$1.35,-66.25%,S/O
"Huachen AI Parking Management Technology Holding Co., Ltd.",HCAI,Other,2/5/2025,1.5,$4.00,$3.84,$4.25,6.25%,S/O
Plutus Financial Group,PLUT,Financials,2/5/2025,2.1,$4.00,$4.00,$4.08,2.00%,S/O
Infinity Natural Resources,INR,Oil & Gas,1/31/2025,13.3,$20.00,$21.37,$15.21,-23.95%,S/O
Maze Therapeutics,MAZE,Health Care,1/31/2025,8.8,$16.00,$15.95,$15.55,-2.81%,S/O
Metsera Inc.,MTSR,Health Care,1/31/2025,15.3,$18.00,$26.50,$36.78,104.33%,S/O
"Beta Bionics, Inc.",BBNX,Health Care,1/30/2025,12.0,$17.00,$23.63,$16.43,-3.35%,S/O
Smithfield Foods Inc.,SFD,Consumer Goods,1/28/2025,26.1,$20.00,$19.75,$20.60,3.00%,S/O
Ascentage Pharma Group International (Uplisting),AAPG,Health Care,1/24/2025,7.3,$17.25,$17.38,$20.67,19.83%,S/O
"Venture Global, Inc.",VG,Oil & Gas,1/24/2025,70.0,$25.00,$24.00,$14.20,-43.20%,S/O
Skyline Builders Group Holding Ltd.,SKBL,Other,1/23/2025,1.5,$4.00,$4.66,$9.18,129.50%,S/O
CTRL Group Ltd.,MCTR,Other,1/22/2025,2.0,$4.00,$4.33,$6.54,63.50%,S/O
Decent Holding Inc.,DXST,Other,1/22/2025,1.3,$4.00,$0.00,$0.00,0.00%,S/O
Diginex Ltd.,DGNX,Technology,1/22/2025,2.3,$4.10,$7.50,$3.08,-24.88%,S/O
Toppoint Holdings Inc.,TOPP,Other,1/22/2025,2.5,$4.00,$3.75,$2.21,-44.75%,S/O
Flowco Holdings Inc.,FLOC,Oil & Gas,1/16/2025,17.8,$24.00,$29.70,$26.44,10.17%,S/O
PicoCELA,PCLA,Industrials,1/16/2025,1.8,$4.00,$2.84,$8.38,109.50%,S/O
Hong Kong Pharma Digital Technology Holdings Limited,HKPD,Health Care,1/15/2025,1.5,$4.00,$2.82,$1.73,-56.75%,S/O
Uni-Fuels Holdings Limited,UFG,Oil & Gas,1/14/2025,2.1,$4.00,$4.00,$4.35,8.75%,S/O
Mint Inc. Ltd.,MIMI,Other,1/10/2025,1.8,$4.00,$4.11,$5.30,32.50%,S/O
3 E Network Technology Group Limited,MASK,Technology,1/8/2025,1.3,$4.00,$3.25,$2.75,-31.25%,S/O
"Cantor Equity Partners I, Inc. (Stock-Only SPAC)",CEPO,Blank Check,1/7/2025,20.0,$10.00,$10.05,$10.10,1.00%,S/O
Zhengye Biotechnology Holding Limited,ZYBT,Health Care,1/7/2025,1.5,$4.00,$4.86,$4.22,5.50%,S/O
INLIF Ltd.,INLF,Industrials,1/2/2025,2.0,$4.00,$4.45,$1.96,-51.00%,S/O
