File Date,Company,Symbol,Managers,Shares (millions),Price Low,Price High,Est $ Vol (millions),Expected To Trade,SCOOP Rating
2026-01-14,Sibo Holding,SIBO,R.F. Lafferty & Co.,3.75,$4.00,$4.00,$15.00,TBA,S/O
2026-01-12,Green Circle Decarbonize Technology Limited,GCDT,RBW Capital Partners (A Division of Dawson James)/Spartan Capital Securities,2.5,$4.00,$4.00,$10.00,Priced,S/O
2026-01-12,OneIM Acquisition,OIMAU,Deutsche Bank Securities,25.0,$10.00,$10.00,$250.00,Priced,S/O
2026-01-08,Atlas Critical Minerals (Uplisting),ATCX,A.G.P. (Alliance Global Partners)/Banco Bradesco BBI,1.2,$8.00,$8.00,$9.60,Priced,S/O
2026-01-08,Lafayette Digital Acquisition Corp. I,ZKPU,BTIG,25.0,$10.00,$10.00,$250.00,Priced,S/O
2026-01-07,Aktis Oncology,AKTS,J.P.Morgan/BofA Securities/Leerink Partners/TD Cowen,17.65,$18.00,$18.00,$317.70,Priced,S/O
2026-01-07,Bleichroeder Acquisition II,BBCQU,Cohen & Company Capital Markets,25.0,$10.00,$10.00,$250.00,Priced,S/O
2026-01-06,"Altech Digital Co., Ltd.",ALD,Pacific Century Securities/Revere Securities,1.5,$4.00,$4.00,$6.00,Withdrawn,S/O
2026-01-06,Soren Acquisition Corp.,SORNU,BTIG,22.0,$10.00,$10.00,$220.00,Priced,S/O
2026-01-05,Art Technology Acquisition Corp.,ARTCU,Clear Street,22.0,$10.00,$10.00,$220.00,Priced,S/O
2026-01-05,Black Spade Acquisition III Co.,BIIIU,Cohen & Company Capital Markets/Chardan,15.0,$10.00,$10.00,$150.00,Priced,S/O
2026-01-05,Buda Juice,BUDA,MDB Capital Group,2.7,$7.50,$7.50,$20.03,Priced,S/O
2025-12-30,Optimal AI,TBA,R.F. Lafferty & Co.,2.5,$4.00,$5.00,$11.25,TBA,S/O
2025-12-29,Cafe Deco Group Ltd.,TBA,Kingswood Capital Markets,1.8,$6.00,$8.00,$12.60,TBA,S/O
2025-12-29,Riverstone Ltd.,DNJF,Joseph Gunnar,2.5,$5.00,$7.00,$15.00,TBA,S/O
2025-12-23,AOJE Inc.,AOJE,Revere Securities,0.0,,,$30.00,TBA,S/O
